index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 9, 3, 3, 0, 239, 0
2, 0, 0, 256, 96, 96, 23, 747, 20
3, 0, 0, 262, 100, 100, 23, 749, 20
4, 0, 0, 355, 140, 140, 29, 844, 58
5, 0, 0, 419, 175, 175, 34, 905, 86
6, 0, 0, 425, 179, 179, 34, 907, 86
7, 0, 0, 576, 245, 245, 39, 1059, 151
8, 0, 0, 585, 251, 251, 39, 1062, 151
9, 3, 3, 710, 365, 365, 42, 1220, 220
10, 3, 3, 716, 371, 371, 42, 1222, 220
11, 4, 4, 849, 504, 504, 46, 1371, 282
12, 4, 4, 855, 510, 510, 46, 1381, 290
13, 4, 4, 891, 546, 546, 46, 1411, 308
14, 4, 4, 1027, 682, 682, 53, 1540, 357
15, 4, 4, 1033, 688, 688, 53, 1542, 357
16, 4, 4, 1173, 828, 828, 59, 1696, 423
17, 4, 4, 1173, 828, 828, 59, 1698, 423
18, 7, 7, 1310, 965, 965, 62, 1858, 493
19, 7, 7, 1319, 974, 974, 62, 1861, 493
20, 7, 7, 1452, 1107, 1107, 64, 2005, 551
21, 7, 7, 1458, 1113, 1113, 64, 2015, 559
22, 7, 7, 1619, 1274, 1274, 71, 2155, 609
23, 7, 7, 1619, 1274, 1274, 71, 2172, 624
24, 7, 7, 1625, 1280, 1280, 71, 2174, 624
25, 7, 7, 1776, 1431, 1431, 79, 2330, 691
26, 7, 7, 1782, 1437, 1437, 79, 2332, 691
27, 7, 7, 1943, 1598, 1598, 88, 2490, 757
28, 7, 7, 1949, 1604, 1604, 88, 2492, 757
29, 62, 7, 2103, 1711, 1711, 94, 2629, 807
30, 65, 7, 2106, 1711, 1711, 94, 2646, 821
31, 198, 7, 2239, 1711, 1711, 94, 2788, 873
32, 198, 7, 2239, 1711, 1711, 94, 2805, 888
33, 349, 7, 2394, 1711, 1711, 94, 2946, 940
34, 349, 7, 2394, 1711, 1711, 94, 2963, 955
35, 509, 7, 2557, 1711, 1711, 94, 3104, 1004
36, 515, 7, 2563, 1711, 1711, 94, 3124, 1022
37, 524, 7, 2572, 1711, 1711, 94, 3127, 1022
38, 656, 7, 2704, 1711, 1711, 94, 3283, 1089
39, 662, 7, 2710, 1711, 1711, 94, 3285, 1089
40, 824, 7, 2872, 1711, 1711, 94, 3442, 1157
41, 830, 7, 2878, 1711, 1711, 94, 3445, 1157
42, 968, 7, 3016, 1711, 1711, 94, 3600, 1224
43, 968, 7, 3016, 1711, 1711, 94, 3603, 1224
44, 1093, 7, 3141, 1711, 1711, 94, 3746, 1277
45, 1105, 7, 3153, 1711, 1711, 94, 3764, 1291
46, 1259, 7, 3307, 1711, 1711, 94, 3900, 1342
47, 1262, 7, 3310, 1711, 1711, 94, 3917, 1356
48, 1428, 7, 3476, 1711, 1711, 94, 4062, 1412
49, 1428, 7, 3476, 1711, 1711, 94, 4062, 1412
50, 1575, 7, 3623, 1711, 1711, 94, 4216, 1475
51, 1575, 7, 3623, 1711, 0, 0, 4219, 1478
52, 1575, 7, 3623, 1711, 0, 0, 4219, 1478
53, 1575, 7, 3623, 1711, 0, 0, 4219, 1478
54, 1575, 7, 3623, 1711, 0, 0, 4219, 1478
55, 1575, 7, 3623, 1711, 0, 0, 4235, 1492
56, 1575, 7, 3623, 1711, 0, 0, 4236, 1492
57, 1575, 7, 3623, 1711, 0, 0, 4236, 1492
58, 1674, 7, 3722, 1711, 0, 0, 4334, 1529
59, 1746, 7, 3794, 1711, 0, 0, 4392, 1555
60, 1746, 7, 3794, 1711, 0, 0, 4392, 1555
61, 1746, 7, 3794, 1711, 0, 0, 4392, 1555
62, 1746, 7, 3794, 1711, 0, 0, 4392, 1555
63, 1746, 7, 3794, 1711, 0, 0, 4393, 1555
64, 1746, 7, 3794, 1711, 0, 0, 4394, 1555
65, 1746, 7, 3794, 1711, 0, 0, 4394, 1555
66, 1749, 7, 3797, 1711, 0, 0, 4395, 1555
67, 1917, 7, 3965, 1711, 0, 0, 4544, 1616
68, 1917, 7, 3965, 1711, 0, 0, 4544, 1616
69, 1917, 7, 3965, 1711, 0, 0, 4544, 1616
70, 1917, 7, 3965, 1711, 0, 0, 4545, 1616
71, 1917, 7, 3965, 1711, 0, 0, 4545, 1616
72, 1917, 7, 3965, 1711, 0, 0, 4546, 1616
73, 1920, 7, 3968, 1711, 0, 0, 4547, 1616
74, 1920, 7, 3968, 1711, 0, 0, 4547, 1616
75, 2082, 7, 4130, 1711, 0, 0, 4688, 1667
76, 2085, 7, 4133, 1711, 0, 0, 4696, 1674
77, 2085, 7, 4133, 1711, 0, 0, 4696, 1674
78, 2088, 7, 4136, 1711, 0, 0, 4697, 1674
79, 2088, 7, 4136, 1711, 0, 0, 4697, 1674
80, 2091, 7, 4139, 1711, 0, 0, 4698, 1674
81, 2094, 7, 4142, 1711, 0, 0, 4699, 1674
82, 2094, 7, 4142, 1711, 0, 0, 4699, 1674
83, 2256, 7, 4304, 1711, 0, 0, 4832, 1721
84, 2256, 7, 4304, 1711, 0, 0, 4846, 1734
85, 2256, 7, 4304, 1711, 0, 0, 4846, 1734
86, 2256, 7, 4304, 1711, 0, 0, 4846, 1734
87, 2256, 7, 4304, 1711, 0, 0, 4848, 1735
88, 2259, 7, 4307, 1711, 0, 0, 4849, 1735
89, 2262, 7, 4310, 1711, 0, 0, 4850, 1735
90, 2262, 7, 4310, 1711, 0, 0, 4850, 1735
91, 2364, 7, 4412, 1711, 0, 0, 4941, 1767
92, 2433, 7, 4481, 1711, 0, 0, 4986, 1781
93, 2433, 7, 4481, 1711, 0, 0, 4986, 1781
94, 2433, 7, 4481, 1711, 0, 0, 4986, 1781
95, 2433, 7, 4481, 1711, 0, 0, 5001, 1795
96, 2433, 7, 4481, 1711, 0, 0, 5002, 1795
97, 2433, 7, 4481, 1711, 0, 0, 5002, 1795
98, 2433, 7, 4481, 1711, 0, 0, 5002, 1795
99, 2451, 7, 4499, 1711, 0, 0, 5018, 1803
100, 2601, 7, 4649, 1711, 0, 0, 5157, 1860
101, 2604, 7, 4652, 1711, 0, 0, 5158, 1860
102, 2604, 7, 4652, 1711, 0, 0, 5158, 1860
103, 2607, 7, 4655, 1711, 0, 0, 5159, 1860
104, 2607, 7, 4655, 1711, 0, 0, 5159, 1860
105, 2610, 7, 4658, 1711, 0, 0, 5160, 1860
106, 2613, 7, 4661, 1711, 0, 0, 5161, 1860
107, 2613, 7, 4661, 1711, 0, 0, 5161, 1860
108, 2778, 7, 4826, 1711, 0, 0, 5294, 1906
109, 2784, 7, 4832, 1711, 0, 0, 5310, 1920
110, 2784, 7, 4832, 1711, 0, 0, 5310, 1920
111, 2787, 7, 4835, 1711, 0, 0, 5311, 1920
112, 2787, 7, 4835, 1711, 0, 0, 5311, 1920
113, 2790, 7, 4838, 1711, 0, 0, 5312, 1920
114, 2793, 7, 4841, 1711, 0, 0, 5313, 1920
115, 2793, 7, 4841, 1711, 0, 0, 5313, 1920
116, 2949, 7, 4997, 1711, 0, 0, 5445, 1966
117, 2949, 7, 4997, 1711, 0, 0, 5462, 1982
118, 2949, 7, 4997, 1711, 0, 0, 5463, 1982
119, 2949, 7, 4997, 1711, 0, 0, 5464, 1982
120, 2949, 7, 4997, 1711, 0, 0, 5464, 1982
121, 2949, 7, 4997, 1711, 0, 0, 5464, 1982
122, 2955, 7, 5003, 1711, 0, 0, 5466, 1982
123, 2955, 7, 5003, 1711, 0, 0, 5466, 1982
124, 2955, 7, 5003, 1711, 0, 0, 5466, 1982
125, 3123, 7, 5171, 1711, 0, 0, 5615, 2040
126, 3123, 7, 5171, 1711, 0, 0, 5628, 2052
127, 3123, 7, 5171, 1711, 0, 0, 5628, 2052
128, 3126, 7, 5174, 1711, 0, 0, 5629, 2052
129, 3129, 7, 5177, 1711, 0, 0, 5631, 2053
130, 3132, 7, 5180, 1711, 0, 0, 5632, 2053
131, 3132, 7, 5180, 1711, 0, 0, 5632, 2053
132, 3132, 7, 5180, 1711, 0, 0, 5632, 2053
133, 3303, 7, 5351, 1711, 0, 0, 5763, 2097
134, 3306, 7, 5354, 1711, 0, 0, 5780, 2113
135, 3309, 7, 5357, 1711, 0, 0, 5781, 2113
136, 3309, 7, 5357, 1711, 0, 0, 5781, 2113
137, 3312, 7, 5360, 1711, 0, 0, 5782, 2113
138, 3312, 7, 5360, 1711, 0, 0, 5782, 2113
139, 3315, 7, 5363, 1711, 0, 0, 5783, 2113
140, 3315, 7, 5363, 1711, 0, 0, 5783, 2113
141, 3318, 7, 5366, 1711, 0, 0, 5784, 2113
142, 3495, 7, 5543, 1711, 0, 0, 5930, 2172
143, 3498, 7, 5546, 1711, 0, 0, 5931, 2172
144, 3498, 7, 5546, 1711, 0, 0, 5931, 2172
145, 3501, 7, 5549, 1711, 0, 0, 5933, 2173
