index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 79, 79, 1870, 1830, 1830, 82, 2183, 164
2, 1472, 163, 3417, 2029, 2029, 88, 3918, 339
3, 2882, 201, 4863, 2029, 2029, 88, 5494, 466
4, 4316, 230, 6327, 2029, 2029, 88, 7034, 538
5, 6007, 282, 8000, 2029, 2029, 88, 8748, 644
6, 7450, 335, 9432, 2029, 2029, 88, 10091, 699
7, 8875, 402, 10816, 2029, 2029, 88, 11323, 811
8, 10189, 515, 12103, 2029, 2029, 88, 12496, 945
9, 11555, 570, 13469, 2029, 2029, 88, 13739, 1096
10, 12962, 694, 14864, 2029, 2029, 88, 14954, 1242
11, 14348, 770, 16291, 2029, 2029, 88, 16220, 1376
12, 15702, 846, 17627, 2029, 2029, 88, 17417, 1506
13, 17151, 960, 19074, 2029, 2029, 88, 18653, 1621
14, 18507, 1005, 20469, 2029, 2029, 88, 19892, 1750
15, 19971, 1109, 21907, 2029, 2029, 88, 21122, 1884
16, 21414, 1212, 23331, 2029, 2029, 88, 22340, 2009
17, 22860, 1291, 24779, 2029, 2029, 88, 23598, 2143
18, 24254, 1396, 26182, 2029, 2029, 88, 24774, 2252
19, 25666, 1445, 27628, 2029, 2029, 88, 26058, 2386
20, 27004, 1536, 28945, 2029, 2029, 88, 27293, 2514
21, 28392, 1630, 30326, 2029, 2029, 88, 28523, 2644
22, 29881, 1725, 31801, 2029, 2029, 88, 29849, 2809
23, 31282, 1847, 33178, 2029, 2029, 88, 31106, 2956
24, 32640, 1924, 34557, 2029, 2029, 88, 32363, 3115
25, 34076, 2060, 35948, 2029, 2029, 88, 33597, 3286
26, 35546, 2203, 37423, 2029, 2029, 88, 34859, 3477
27, 36926, 2309, 38786, 2029, 2029, 88, 36147, 3688
28, 38272, 2450, 40145, 2029, 2029, 88, 37357, 3870
29, 39556, 2514, 41449, 2029, 2029, 88, 38548, 4058
30, 40857, 2610, 42784, 2029, 2029, 88, 39746, 4187
31, 42264, 2697, 44211, 2029, 2029, 88, 41009, 4325
32, 43540, 2756, 45475, 2029, 2029, 88, 42192, 4480
33, 48003, 3172, 49849, 2029, 2029, 88, 46505, 5325
34, 61825, 4532, 63695, 2029, 2029, 88, 57345, 7935
35, 77781, 5659, 79748, 2029, 2029, 88, 68196, 10311
36, 90240, 8200, 91380, 2269, 2269, 92, 84376, 19268
37, 92378, 9250, 93380, 3404, 3404, 115, 105146, 38645
38, 93668, 9580, 94634, 3678, 3678, 119, 138650, 70064
